Number,Name,Latitude,Longitude,LastUsed
1,18 Dorrance Warehouse,42.387151,-71.075978,2022-12-22 16:47:23.9980
3,Colleges of the Fenway,42.340021,-71.100812,2017-01-05 21:43:53
4,Tremont St. at Berkeley St.,42.345392,-71.069616,2017-01-06 19:13:24
5,Northeastern U / North Parking Lot,42.341814,-71.090179,2017-01-07 10:26:41
6,Cambridge St. at Joy St.,42.361174,-71.065142,2017-01-07 10:19:59
8,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,2017-01-07 11:34:24
9,Commonwealth Ave at Buick St,42.35062177153799,-71.11288218766276,2018-04-30 22:58:57.9720
11,Longwood Ave / Binney St,42.338629,-71.1065,2017-01-05 23:31:54
12,Ruggles Station / Columbus Ave.,42.335911,-71.088496,2017-01-07 09:38:26
13,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,2016-11-29 09:23:40
14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797,2017-01-05 21:59:18
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,2017-01-05 11:07:47
16,Back Bay / South End Station,42.34807412317439,-71.07657015323639,2017-01-06 21:41:31
17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,42.365064,-71.119233,2017-01-06 20:01:29
19,Buswell St. at Park Dr.,42.347241,-71.105301,2017-01-07 10:55:40
20,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,2017-01-06 17:15:50
21,Prudential Center - Belvedere St,42.34652003998412,-71.08065776545118,2019-11-30 21:40:35.9630
22,South Station - 700 Atlantic Ave.,42.352175,-71.055547,2017-01-06 19:47:09
23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,2017-01-07 08:53:17
24,Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983,2017-01-05 08:48:32
25,Tremont St / W Newton St,42.341332,-71.076847,2017-01-06 17:20:58
26,Washington St. at Waltham St.,42.341522,-71.068922,2016-11-30 09:22:29
27,Roxbury Crossing Station,42.331184,-71.095171,2017-01-07 09:24:31
29,Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,2017-01-06 17:34:53
30,Brigham Cir / Huntington Ave,42.334073,-71.105221,2017-01-06 01:40:09
31,Seaport Hotel,42.348833,-71.041747,2017-01-03 07:49:47
32,Landmark Centre,42.343912,-71.102221,2017-01-06 21:00:09
33,Kenmore Sq / Comm Ave,42.348706,-71.097009,2017-01-06 23:12:10
35,Franklin St. / Arch St.,42.355402,-71.058087,2016-11-30 10:53:52
36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,2017-01-07 11:56:12
37,New Balance - 20 Guest St.,42.357402,-71.147782,2017-01-04 07:24:03
38,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,2016-09-22 14:07:42
39,Washington St. at Rutland St.,42.33849279283789,-71.07401937246323,2017-01-07 10:28:34
40,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,2017-01-06 18:10:25
41,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,2017-01-06 12:04:51
42,Boylston St at Charles St (Temp Winter Location),42.35258524849636,-71.06770277023315,2023-03-31 22:58:57.7710
43,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,2017-01-07 09:38:00
44,Congress St at North St,42.36041774637169,-71.05752243543975,2019-11-30 16:46:40.5930
45,Jersey St. at Boylston St.,42.3446808403874,-71.09785348176956,2018-11-14 09:39:27.9800
46,Christian Science Plaza,42.343864,-71.085918,2017-01-07 11:34:20
47,Cross St. at Hanover St.,42.362811,-71.056067,2017-01-07 04:20:04
48,Post Office Square - Pearl St at Milk St,42.356755,-71.055407,2019-05-31 17:48:42.3130
49,Stuart St. at Charles St.,42.351146,-71.066289,2017-01-06 21:35:37
50,Boylston St / Berkeley St,42.350989,-71.073644,2016-11-28 10:22:51
51,Washington St. at Lenox St.,42.3348756,-71.0790969,2017-01-06 08:31:39
52,Newbury St / Hereford St,42.34872432400896,-71.08583986759186,2016-11-30 09:26:33
53,Beacon St / Mass Ave,42.350851,-71.089886,2016-11-28 13:40:22
54,Tremont St / West St,42.354979,-71.063348,2017-01-07 11:06:25
55,Boylston / Mass Ave,42.347265,-71.088088,2016-11-28 08:31:35
56,Dudley Square - Dudley St at Warren St,42.329842993518085,-71.08386572459494,2019-11-30 21:49:51.9050
57,Columbus Ave at Massachusetts Ave,42.34054261551636,-71.08138847914233,2019-11-30 18:47:49.8650
58,Beacon St at Arlington St,42.35553628489709,-71.07286870479584,2018-09-30 21:58:38.4820
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,2017-01-07 02:04:09
60,Charles Circle - Charles St at Cambridge St TEMPORARY WINTER LOCATION,42.36075761041193,-71.07132909824031,2018-03-31 18:48:56
61,Boylston at Fairfield,42.348762,-71.082383,2016-11-28 09:08:59
63,Dorchester Ave. at Gillette Park,42.344023,-71.057054,2017-01-03 08:24:51
64,Congress / Sleeper,42.3511,-71.0496,2016-11-30 09:53:01
65,Boston Convention & Exhibition Center,42.3475,-71.0441,2017-01-02 20:16:11
66,Allston Green District - Griggs St at Commonwealth Ave,42.34922469338298,-71.13275302578586,2019-11-30 20:34:33.1270
69,Coolidge Corner - Beacon St @ Centre St,42.341598,-71.123338,2018-04-30 19:21:05.2300
81,Boylston St at Washington St,42.352409,-71.062679,2018-04-30 21:57:50.6880
82,Washington Square at Washington St. / Beacon St.,42.33826680058037,-71.13894682028331,2018-04-30 14:17:53.2310
86,Brookline Village - Pearl Street at MBTA,42.3329989199507,-71.11634425762531,2019-05-31 21:08:08.0170
88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,2019-01-17 10:50:28.9910
92,University of Massachusetts Boston - Integrated Sciences Complex,42.313917,-71.04025,2019-05-31 16:50:46.3580
93,JFK / UMASS at MBTA Station,42.320494,-71.051122,2017-01-07 00:19:39
94,Charlestown - Main St at Austin St,42.375603,-71.064608,2017-01-05 09:25:38
98,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,2017-01-05 08:41:26
105,Lower Cambridgeport at Magazine St/Riverside Rd,42.357218503176526,-71.1138716340065,2017-09-30 20:05:40
106,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,2016-11-28 09:47:40
109,TD Garden - West End Park,42.36590788445084,-71.06446668505669,2019-02-28 22:21:52.7690
110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,2020-01-31 23:57:06.9190
111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,2018-04-30 21:02:48.1860
112,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,2016-11-30 14:17:13
113,Andrew Station - Dorchester Ave at Humboldt Pl,42.330716,-71.057044,2016-11-29 09:16:26
114,Teele Square at 239 Holland St,42.402763,-71.126908,2017-12-05 09:18:40
119,South Boston Library - 646 East Broadway,42.335741,-71.03877,2017-01-07 09:44:56
120,Charles St and Beacon St,42.356052,-71.069849,2018-09-30 23:47:25.3770
121,West Broadway at Dorchester St,42.335693,-71.045859,2017-01-07 07:46:24
122,BIDMC - Brookline at Burlington St,42.345733,-71.100694,2016-11-28 08:23:58
123,JP Center - Centre Street at Myrtle Street,42.313156,-71.11414,2015-11-17 10:33:38
124,Curtis Hall at South Street,42.309054,-71.11543,2017-01-03 08:14:44
125,Hyde Square at Barbara St,42.320998,-71.110833,2016-11-28 08:02:02
126,Egleston Square at Columbus Ave,42.315692,-71.098634,2017-01-03 08:36:18
128,E. Cottage St at Columbia Rd,42.320561,-71.06198,2016-11-29 08:31:18
129,Hayes Square at Vine St.,42.377022,-71.056605,2016-11-30 12:36:58
130,Upham's Corner,42.31727474327453,-71.06537003967787,2019-11-04 08:42:34.5190
131,Jackson Square T at Centre St,42.32285835413575,-71.10034391283989,2017-01-07 11:13:02
132,Summer St at Cutter St,42.394002,-71.120406,2015-11-24 08:32:38
133,Green St T,42.310579,-71.107341,2017-01-05 10:35:49
134,Boylston St at Dartmouth St FORMER,42.350413,-71.07655,2020-07-27 09:46:47.7070
138,Mass Ave at Newmarket Square,42.326599,-71.066498,2017-01-04 16:07:18
146,Day Boulevard,42.336448,-71.023739,2017-01-04 16:58:30
149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,2017-01-06 16:16:48
