Name,Number,Latitude,Longitude,LastUsed
160 Arsenal,502,42.36466403441681,-71.17569386959076,2023-03-31 10:52:46.8570
160 Arsenal,W32006,42.364664,-71.175694,2023-11-02 09:11:49
30 Dane St.,330,42.38100143038052,-71.10402522613185,2019-01-31 23:00:46.3790
30 Dane St. (former),286,42.38112284630097,-71.10410027224134,2018-10-23 14:40:41.7940
359 Broadway,M32028,42.370801,-71.104451,2025-05-20 08:51:01.099
515 Somerville Ave (Temp. Winter Location),591,42.38322726839113,-71.10606908798218,2023-03-09 14:09:24.4880
515 Somerville Ave (Temp. Winter Location),S32049,42.38322726839113,-71.10606908798218,2024-03-09 16:00:46
699 Mt Auburn St (former),237,42.37497659215716,-71.14863030630659,2018-10-23 14:28:58.0490
700 Commonwealth Ave.,446,42.34960945333059,-71.10391523698127,2023-03-31 22:24:32.0560
700 Commonwealth Ave.,B32060,42.34960945333059,-71.10391523698127,2025-02-20 23:41:56.782
8D OPS 01,158,0.0,0.0,2018-07-18 15:17:17.6460
8D OPS 03,153,45.505086,-73.566921,2017-02-10 15:28:34
8D QC Station 01,229,42.34503315560333,-71.09664916992188,2019-01-23 16:44:09.1690
8D QC Station 02,230,0.0,0.0,2017-10-04 16:32:26
Adams Branch Library,534,42.286011,-71.054689,2021-11-18 11:36:06.1060
Adams St at Lonsdale St,410,42.291679428741226,-71.05726346409938,2022-11-09 08:50:06.9970
Adams St at Lonsdale St,C32065,42.291679428741226,-71.05726346409938,2024-12-03 17:40:18.324
Agganis Arena - 925 Comm Ave.,9,42.351246,-71.115639,2017-01-06 16:09:34
Allston Green District - Commonwealth Ave & Griggs St,66,42.348607,-71.13401,2016-11-30 23:13:11
Allston Green District - Griggs St at Commonwealth Ave,66,42.34922469338298,-71.13275302578586,2019-11-30 20:34:33.1270
Allston Green District - Griggs St at Commonwealth Ave TEMPORARY WINTER LOCATION,66,42.34922469338298,-71.13275302578586,2018-03-31 23:58:30
American Legion Hwy at Canterbury St,422,42.278811581565975,-71.11687703062671,2021-08-31 21:15:53.9670
Andrew Station - Dorchester Ave at Humboldt Pl,113,42.330716,-71.057044,2016-11-29 09:16:26
Andrew T Stop - Dorchester Ave at Dexter St,113,42.33073332585453,-71.05699850837482,2022-11-09 11:47:02.8220
Andrew T Stop - Dorchester Ave at Dexter St,C32012,42.33073332585453,-71.05699850837482,2024-12-08 14:58:57.600
Aquarium Station - 200 Atlantic Ave.,20,42.35977,-71.051601,2017-01-06 17:15:50
Archdale Rd at Washington St (former),244,42.292706,-71.121145,2018-10-23 13:52:11.6580
BCBS Quincy,317,42.27600498756665,-71.03924982267927,2022-11-28 13:01:44.1220
BCBS Quincy,BCBS02,42.276005,-71.03925,2023-09-16 13:38:07
BIDMC - Brookline at Burlington St,122,42.345733,-71.100694,2016-11-28 08:23:58
Back Bay / South End Station,16,42.34807412317439,-71.07657015323639,2017-01-06 21:41:31
Bartlett St at John Elliot Sq (former),293,42.32946325922549,-71.09015820552486,2018-10-30 13:31:32.7380
Beacon St / Mass Ave,53,42.350851,-71.089886,2016-11-28 13:40:22
Beacon St at Arlington St,58,42.35553628489709,-71.07286870479584,2018-09-30 21:58:38.4820
Beacon St at Englewood Ave,450,42.337369153709254,-71.14485977232107,2020-08-25 10:13:09.9300
Beacon St at Hawes St,453,42.34496783328529,-71.11040176903771,2020-10-15 10:31:31.9260
Beacon St at St. Paul St,452,42.34373094998716,-71.11614107161584,2020-12-16 12:39:09.7540
Bennington St at Constitution Beach (former),274,42.385249,-71.010601,2018-10-26 14:12:38.8900
Big Papi Station,400,42.34734473177431,-71.1001680795016,2019-11-30 20:26:54.1050
Blossom St at Charles St 1 1 1,D32050,42.363134,-71.067499,2025-06-11 13:37:58.185
Blue Hill Ave at Almont St (former),245,42.27454525528758,-71.09372016051566,2018-10-22 18:21:12.3340
Blue Hill Ave at Southwood St (former),306,42.31784,-71.07796,2018-10-28 07:23:38.7630
Boston Convention & Exhibition Center,65,42.3475,-71.0441,2017-01-02 20:16:11
Boston Medical Center -  East Concord at Harrison Ave,13,42.336437,-71.073089,2016-11-29 09:23:40
Boston Public Library - 700 Boylston St.,36,42.349673,-71.077303,2017-01-07 11:56:12
Boston Public Market,369,42.36254854409333,-71.0573735833168,2021-05-18 13:22:18.9790
